OBJECTID *,GIS_ACRES,REGION,THP_YEAR,THP_NUM,COUNTY,TIMBEROWNR,LANDOWNER,SILVI_1,SILVI_2,SILVI_CAT,YARD,UNIT,PLAN_STAT,APPROVED,COMPLETED,COMMENTS,SPATL_MOD,MODIFIED,HD_NUM,GLOBALID *,Shape__Area *,Shape__Length *,Shape *
31078,11.867765,1 - Coast,2004,5,Humboldt,Green Diamond Resource Co,Green Diamond Resource Co,Clearcut,<Null>,Evenaged Management,Cable with Helicopter option,<Null>,Completed,4/13/2004 7:00,12/10/2008 8:00,<Null>,<Null>,<Null>,1-04-005-HUM,{e248a97b-38eb-4a7b-b981-e871baa257a6},48027.1403,1692.836356,Polygon
37460,22.779784,2 - Cascade,2004,174,Yuba,Soper Wheeler Co,Soper Wheeler Co,No Harvest Area,<Null>,No Harvest Area,Tractor or Skidder,<Null>,Completed,12/9/2004 8:00,12/10/2008 8:00,<Null>,NAIP_2014,1/7/2015 8:00,2-04-174-YUB,{f119eadf-1d20-40f1-b778-b37379b093d3},92186.51345,1589.152278,Polygon
37581,26.130525,2 - Cascade,2004,174,Yuba,Soper Wheeler Co,Soper Wheeler Co,No Harvest Area,<Null>,No Harvest Area,Tractor or Skidder,<Null>,Completed,12/9/2004 8:00,12/10/2008 8:00,<Null>,NAIP_2005,7/18/2013 7:00,2-04-174-YUB,{dcd2194e-ed77-4ed9-909e-33f83138d582},105746.4835,1772.2043,Polygon
37617,12.467524,2 - Cascade,2004,174,Yuba,Soper Wheeler Co,Soper Wheeler Co,Shelterwood Rem/Commercial Thin,<Null>,Evenaged Management,Tractor or Skidder,<Null>,Completed,12/9/2004 8:00,12/10/2008 8:00,<Null>,NAIP_2005,7/18/2013 7:00,2-04-174-YUB,{1f7ffbf3-5462-4bd0-9c3c-15b01c8c5009},50454.27781,1114.775697,Polygon
38563,18.398428,1 - Coast,2004,5,Humboldt,Green Diamond Resource Co,Green Diamond Resource Co,Clearcut,<Null>,Evenaged Management,Cable System,<Null>,Completed,4/13/2004 7:00,12/10/2008 8:00,<Null>,<Null>,<Null>,1-04-005-HUM,{2b5867d1-491d-4e2c-804f-5354f7190a75},74455.79809,2027.241004,Polygon
39525,2.498026,1 - Coast,2004,5,Humboldt,Green Diamond Resource Co,Green Diamond Resource Co,Clearcut,<Null>,Evenaged Management,Tractor or Skidder,<Null>,Completed,4/13/2004 7:00,12/10/2008 8:00,<Null>,<Null>,<Null>,1-04-005-HUM,{e08af587-4462-4d2c-bfb7-c4961f5c95d6},10109.15114,706.610957,Polygon
39526,2.300101,1 - Coast,2004,5,Humboldt,Green Diamond Resource Co,Green Diamond Resource Co,Selection,<Null>,Unevenaged Management,Cable System,<Null>,Completed,4/13/2004 7:00,12/10/2008 8:00,<Null>,<Null>,<Null>,1-04-005-HUM,{642892bd-8d57-46a9-b969-92549128402f},9308.176796,574.583409,Polygon
35393,2.031457,2 - Cascade,2004,167,Siskiyou,T C & I Shasta LLC,T C & I Shasta LLC,Alternative Prescription,Clearcut,Evenaged Management,Tractor or Skidder,<Null>,Completed,12/27/2004 8:00,12/8/2008 8:00,Appears unlogged per NAIP_2012,NAIP_2012,12/4/2014 8:00,2-04-167-SIS,{24349330-f0e9-4d4d-8f92-bce8ef43a62d},8221.01289,390.865653,Polygon
35710,44.346888,2 - Cascade,2004,167,Siskiyou,T C & I Shasta LLC,T C & I Shasta LLC,Sanitation Salvage,<Null>,Intermediate Treatments,Tractor or Skidder,<Null>,Completed,12/27/2004 8:00,12/8/2008 8:00,<Null>,<Null>,<Null>,2-04-167-SIS,{f00580cc-2783-4b0c-bd3e-1f3071af2517},179465.4875,3042.093428,Polygon
36316,23.18737,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Clearcut,Evenaged Management,Cable System,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,<Null>,<Null>,2-03-087-SHA,{bc9fcc98-90c1-4310-a401-d8a63ba16e09},93835.95652,1290.858946,Polygon
36433,16.25683,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Clearcut,Evenaged Management,Tractor or Skidder,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,<Null>,<Null>,2-03-087-SHA,{b15b2540-8a96-40cd-a955-df7dfa7a95f0},65789.05605,1538.332449,Polygon
36407,13.15852,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Clearcut,Evenaged Management,Tractor or Skidder,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,<Null>,<Null>,2-03-087-SHA,{6779312e-58c5-4cd2-98c9-afb203e7b06d},53250.64069,957.055855,Polygon
36416,18.331819,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Clearcut,Evenaged Management,Tractor or Skidder,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,<Null>,<Null>,2-03-087-SHA,{8c2c0d32-6200-4de7-9aaf-7b8c99fdd192},74186.2399,1415.586603,Polygon
36417,21.880191,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Clearcut,Evenaged Management,Tractor or Skidder,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,<Null>,<Null>,2-03-087-SHA,{79c5b56e-d0ce-44e2-a688-e6b6665c074f},88545.99233,1328.075962,Polygon
36536,15.217688,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Clearcut,Evenaged Management,Tractor or Skidder,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,NAIP_2012,1/9/2015 8:00,2-03-087-SHA,{0d2374a4-8b49-4427-92b9-53027775ca5c},61583.79749,1181.091988,Polygon
36541,4.906498,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Clearcut,Evenaged Management,Cable System,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,<Null>,<Null>,2-03-087-SHA,{9320a1d0-c483-48fd-80c6-653fa9c9100a},19855.89201,600.030322,Polygon
36604,11.801556,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Shelterwood Removal Step,<Null>,Evenaged Management,Tractor or Skidder,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,<Null>,<Null>,2-03-087-SHA,{4c6c0ea4-012d-4e24-ba62-3bc647397663},47759.20237,1448.918538,Polygon
36753,22.181489,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Clearcut,Evenaged Management,Tractor or Skidder,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,<Null>,<Null>,2-03-087-SHA,{c14f31fa-b284-446e-ab53-de83ed8399ad},89765.3018,1416.211433,Polygon
36754,20.786703,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Clearcut,Evenaged Management,Tractor or Skidder,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,NAIP_2009,5/4/2011 7:00,2-03-087-SHA,{cb07de2f-04b7-4572-9741-abe5ff5b698b},84120.80355,1505.367788,Polygon
36755,21.697038,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Clearcut,Evenaged Management,Tractor or Skidder,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,<Null>,<Null>,2-03-087-SHA,{5cd3b1d9-579e-47c1-a878-e6d8128e49d9},87804.79595,1391.411362,Polygon
36756,20.582108,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Clearcut,Evenaged Management,Tractor or Skidder,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,<Null>,<Null>,2-03-087-SHA,{a949080a-fd8a-430f-98f1-83655bbb386a},83292.83433,1377.64935,Polygon
36757,20.646287,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Clearcut,Evenaged Management,Tractor or Skidder,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,<Null>,<Null>,2-03-087-SHA,{b5a89f7b-5299-4465-8b70-e3265b7fe8a6},83552.55773,1268.67412,Polygon
36758,18.257969,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Clearcut,Evenaged Management,Tractor or Skidder,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,<Null>,<Null>,2-03-087-SHA,{9e1d8cf7-3721-49f1-886a-747666c8e304},73887.37942,1133.085175,Polygon
36860,19.414002,2 - Cascade,2003,87,Shasta,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Clearcut,Evenaged Management,Tractor or Skidder,<Null>,Completed,10/9/2003 7:00,12/8/2008 8:00,<Null>,<Null>,<Null>,2-03-087-SHA,{0182bbaf-f81d-4b04-853d-8de7efa6350f},78565.67691,1191.770903,Polygon
4778,4.575652,2 - Cascade,1999,15,Siskiyou,Trans Wood Co,Trans Wood Co,Clearcut,<Null>,Evenaged Management,Balloon or Helicopter,<Null>,Unlogged,8/3/1999 7:00,12/4/2008 8:00,Unlogged per Inspection 3; Admin close out; parcel sold to USFS,<Null>,<Null>,2-99-015-SIS,{f8917eba-c201-4707-902f-6df15a39fff2},18517.00798,707.252734,Polygon
12430,32.583741,2 - Cascade,1999,15,Siskiyou,Trans Wood Co,Trans Wood Co,Clearcut,<Null>,Evenaged Management,Balloon or Helicopter,<Null>,Unlogged,8/3/1999 7:00,12/4/2008 8:00,Unlogged per Inspection 3; Admin close out; parcel sold to USFS,<Null>,<Null>,2-99-015-SIS,{28d60455-0696-494b-97d2-7f8fe184c1c9},131861.7204,1438.835403,Polygon
31112,19.937323,2 - Cascade,2004,127,Butte,R H Emmerson & Son LLC,R H Emmerson & Son LLC,Clearcut,<Null>,Evenaged Management,Tractor or Skidder,<Null>,Completed,12/31/2004 8:00,12/3/2008 8:00,<Null>,<Null>,<Null>,2-04-127-BUT,{2fcc3cc5-5755-40df-97d2-eaec54a8a3d2},80683.48363,1169.931375,Polygon
31113,7.227276,2 - Cascade,2004,127,Butte,R H Emmerson & Son LLC,R H Emmerson & Son LLC,Clearcut,<Null>,Evenaged Management,Tractor or Skidder,<Null>,Completed,12/31/2004 8:00,12/3/2008 8:00,<Null>,<Null>,<Null>,2-04-127-BUT,{03a79621-c7c2-441f-9784-cfcd227566ba},29247.74814,814.591275,Polygon
31114,15.357314,2 - Cascade,2004,127,Butte,R H Emmerson & Son LLC,R H Emmerson & Son LLC,Clearcut,<Null>,Evenaged Management,Tractor or Skidder,<Null>,Completed,12/31/2004 8:00,12/3/2008 8:00,<Null>,<Null>,<Null>,2-04-127-BUT,{07ac2db6-d7c2-46e0-ad8b-a0e469522372},62148.84342,1013.480127,Polygon
31158,15.711549,2 - Cascade,2004,127,Butte,R H Emmerson & Son LLC,R H Emmerson & Son LLC,Clearcut,<Null>,Evenaged Management,Tractor or Skidder,<Null>,Completed,12/31/2004 8:00,12/3/2008 8:00,<Null>,NAIP_2009,11/13/2009 8:00,2-04-127-BUT,{0f2389bf-e50a-4569-8768-9e23026013d1},63582.38204,1217.924852,Polygon
31167,18.792445,2 - Cascade,2004,127,Butte,R H Emmerson & Son LLC,R H Emmerson & Son LLC,Clearcut,<Null>,Evenaged Management,Tractor or Skidder,<Null>,Completed,12/31/2004 8:00,12/3/2008 8:00,<Null>,NAIP_2009,11/13/2009 8:00,2-04-127-BUT,{b4a4d6fb-0186-4740-99d3-2c20d345ed09},76050.32731,1190.113224,Polygon
33494,15.791163,2 - Cascade,2002,67,Butte,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Seed Tree Seed Step,Evenaged Management,Tractor or Skidder,<Null>,Completed,12/11/2002 8:00,12/3/2008 8:00,<Null>,<Null>,<Null>,2-02-067-BUT,{1ce99c81-3841-4279-9186-e88d10cfbff6},63904.56997,1131.970433,Polygon
33496,14.740679,2 - Cascade,2002,67,Butte,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Seed Tree Seed Step,Evenaged Management,Tractor or Skidder,<Null>,Completed,12/11/2002 8:00,12/3/2008 8:00,<Null>,<Null>,<Null>,2-02-067-BUT,{9ba04b17-312c-43e7-bba9-80e2addae2c4},59653.40968,1283.873472,Polygon
31534,18.341349,2 - Cascade,2004,127,Butte,R H Emmerson & Son LLC,R H Emmerson & Son LLC,Clearcut,<Null>,Evenaged Management,Tractor or Skidder,<Null>,Completed,12/31/2004 8:00,12/3/2008 8:00,<Null>,NAIP_2009,11/13/2009 8:00,2-04-127-BUT,{8cfe94c7-b16e-47c7-8557-8386bf067633},74224.80444,1088.622276,Polygon
33839,18.267255,2 - Cascade,2003,131,Tehama,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Alternative Prescription,Seed Tree Seed Step,Evenaged Management,Tractor or Skidder,<Null>,Completed,11/25/2003 8:00,12/3/2008 8:00,<Null>,<Null>,<Null>,2-03-131-TEH,{1e3c1538-cf54-42d7-90a6-07651087428a},73924.95809,1335.809731,Polygon
33840,9.074149,2 - Cascade,2003,131,Tehama,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Selection,<Null>,Unevenaged Management,Cable System,<Null>,Completed,11/25/2003 8:00,12/3/2008 8:00,<Null>,<Null>,<Null>,2-03-131-TEH,{e9d51bd2-1f24-48f7-b47f-bbe13c3d01dd},36721.77954,812.182445,Polygon
33841,6.258533,2 - Cascade,2003,131,Tehama,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Selection,<Null>,Unevenaged Management,Cable System,<Null>,Completed,11/25/2003 8:00,12/3/2008 8:00,<Null>,<Null>,<Null>,2-03-131-TEH,{2f2c8848-9e8c-4a47-9282-ff3ef298a7b1},25327.38617,676.244541,Polygon
33846,12.210889,2 - Cascade,2003,131,Tehama,Sierra Pacific Holding Co,Sierra Pacific Holding Co,Clearcut,<Null>,Evenaged Management,Tractor or Skidder,<Null>,Completed,11/25/2003 8:00,12/3/2008 8:00,<Null>,<Null>,<Null>,2-03-131-TEH,{6d6241cb-d43c-4d93-a5a9-5c798d431893},49415.71529,883.664963,Polygon
